?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01000478>	"cement plaster"
<http://purl.obolibrary.org/obo/ENVO_01000165>	"trophosome"
<http://purl.obolibrary.org/obo/ENVO_03000002>	"firn"@en
<http://purl.obolibrary.org/obo/ENVO_00002259>	"agricultural soil"
<http://purl.obolibrary.org/obo/ENVO_3200047>	"concentration of lithium in snow"
<http://purl.obolibrary.org/obo/ENVO_01000372>	"household waste material"
<http://purl.obolibrary.org/obo/ENVO_01000273>	"lime mudstone"
<http://purl.obolibrary.org/obo/ENVO_00002046>	"activated sludge"
<http://purl.obolibrary.org/obo/ENVO_00005789>	"bluegrass field soil"
<http://purl.obolibrary.org/obo/ENVO_01001234>	"recalcitrant kerogen"@en
<http://purl.obolibrary.org/obo/ENVO_01001846>	"depth hoar"@en
<http://purl.obolibrary.org/obo/ENVO_02000103>	"metallic dust"
<http://purl.obolibrary.org/obo/ENVO_01000309>	"cold environment"
<http://purl.obolibrary.org/obo/ENVO_01000166>	"mycetome"
<http://purl.obolibrary.org/obo/ENVO_01000845>	"crystal"@en
<http://purl.obolibrary.org/obo/ENVO_09000017>	"concentration of nitrogen atom in soil"
<http://purl.obolibrary.org/obo/ENVO_3100031>	"depth of water"
<http://purl.obolibrary.org/obo/ENVO_01001143>	"lava planet"@en
<http://purl.obolibrary.org/obo/ENVO_03000116>	"snowpack"@en
<http://purl.obolibrary.org/obo/ENVO_00005742>	"arable soil"
<http://purl.obolibrary.org/obo/ENVO_09200005>	"mass density of soil"
<http://purl.obolibrary.org/obo/ENVO_01000256>	"mineral material"
<http://purl.obolibrary.org/obo/ENVO_01000137>	"organic matter fall"
<http://purl.obolibrary.org/obo/ENVO_00002203>	"inorganically enriched sediment"
<http://purl.obolibrary.org/obo/ENVO_01001534>	"tabular iceberg"@en
<http://purl.obolibrary.org/obo/ENVO_02000097>	"gold ore"
<http://purl.obolibrary.org/obo/ENVO_00003097>	"bore hole water"
<http://purl.obolibrary.org/obo/ENVO_00002134>	"anaerobic stream sediment"
<http://purl.obolibrary.org/obo/ENVO_01001184>	"arable"@en
<http://purl.obolibrary.org/obo/ENVO_01001840>	"safe environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000321>	"sea water environment"
<http://purl.obolibrary.org/obo/ENVO_01001648>	"suspended colloidal sediment"@en
<http://purl.obolibrary.org/obo/ENVO_02000028>	"ear wax material"
<http://purl.obolibrary.org/obo/ENVO_04000008>	"soil organic matter"@en
<http://purl.obolibrary.org/obo/ENVO_3100003>	"concentration of alpha-carotene in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01000560>	"charcoal"@en
<http://purl.obolibrary.org/obo/ENVO_01000116>	"pebble sediment"
<http://purl.obolibrary.org/obo/ENVO_03500009>	"attractive environment"@en
<http://purl.obolibrary.org/obo/ENVO_00005762>	"chloropicrin enriched soil"
<http://purl.obolibrary.org/obo/ENVO_03000033>	"marine sediment"@en
<http://purl.obolibrary.org/obo/ENVO_01000206>	"temperate"
